Tarih;Şimdi;Acilis;Yüksek;Düşük;Fark %
29;2,9218;2,9395;2,9427;2,914;-0,64%
28;2,9407;2,9466;2,9631;2,926;-0,22%
27;2,9473;2,9175;2,955;2,911;0,82%
26;2,9232;2,9108;2,9268;2,889;0,39%
25;2,9118;2,9149;2,927;2,8853;-0,16%
24;2,9164;2,9511;2,9646;2,906;-1,20%
23;2,9519;2,9449;2,961;2,942;0,21%
22;2,9456;2,9551;2,978;2,94;-0,33%
21;2,9553;2,9684;2,978;2,95;-0,47%
20;2,9693;3,0004;3,003;2,964;-1,07%
19;3,0014;3,0073;3,019;2,984;-0,25%
18;3,0088;3,0199;3,0356;3,001;-0,42%
17;3,0214;2,9995;3,0245;2,9969;0,59%
16;3,0038;3,0111;3,0238;2,9975;-0,29%
15;3,0126;3,0413;3,0541;3,0091;-0,97%
14;3,0422;3,039;3,063;3,0339;0,07%
13;3,0402;3,0335;3,0467;3,016;0,12%
12;3,0365;3,0469;3,0533;3,027;-0,39%
11;3,0484;3,021;3,0549;3,0197;0,82%
10;3,0235;3,024;3,0435;3,014;-0,17%
9;3,0285;3,0315;3,0365;3,002;-0,15%
8;3,0332;3,0362;3,049;3,02;-0,15%
7;3,0377;3,0197;3,0437;3,008;0,54%
6;3,0214;2,9981;3,0231;2,98;0,74%
5;2,9993;2,9997;3,029;2,984;-0,10%
4;3,0024;2,9839;3,016;2,981;0,58%
3;2,9852;2,9634;2,9918;2,953;0,71%
2;2,9642;2,9175;2,981;2,9127;1,73%
1;2,9139;2,9167;2,9201;2,9119;-0,13%
